#,Name,Age,Level,Team,Pos,Avg Rank,Coverage,BaGS,FScore,PG+,PLFR,OOPSY Peak,PARS,P.Tilt
"351","Casey Hintz","22","A+","SEA","","375.3","3","","","","382","513","","231"
"352","David Sandlin","25","MLB","BOS","","375.3","6","215","","619","524","301","266","327"
"353","Brooks Auger","24","A+","LAD","","376.9","7","219","946","504","198","487","146","138"
"354","Tyler Boudreau","23","A","NYY","","377.2","6","309","","116","231","1163","252","192"
"355","Prelander Berroa","26","MLB","CHW","","","1","","","","","378","",""
"356","Max Rajcic","24","MLB","STL","","378.3","3","","","","450","383","","302"
"357","Ryan Magdic","26","AA","ATH","","378.4","7","339","256","465","374","580","461","174"
"358","Rolddy Munoz","26","MLB","ATL","","379.0","4","","150","","554","507","","305"
"359","Anderson Cardenas","20","A","ARI","","380.0","3","","","","","671","397","72"
"360","Tyler Uberstine","27","MLB","BOS","","380.3","4","483","","681","","125","","232"
"361","Kolten Smith","22","A+","MIN","","383.5","6","440","","247","258","950","142","264"
"362","Brad Pacheco","21","A","PHI","","383.6","7","295","1004","120","84","1004","81","98"
"363","Marino Santy","24","AA","CHC","","385.6","4","","211","","251","978","","103"
"364","Zach Maxwell","25","MLB","CIN","","386.2","3","","70","","814","275","",""
"365","Brooks Caple","23","AA","CHC","","386.3","7","130","955","75","134","920","129","361"
"366","Mathias LaCombe","24","A+","CHW","","386.3","3","","","","538","457","","164"
"367","Jacob Frost","23","A+","LAD","","388.5","6","484","","135","592","399","303","418"
"368","Augusto Mendieta","21","AA","KCR","","389.9","4","","256","","289","255","","760"
"369","Brady Parker","22","A","COL","","390.5","6","201","","648","321","292","372","509"
"370","Pierce Coppola","23","A+","CHC","","391.3","6","260","","380","223","562","179","744"
"371","Robby Ahlstrom","27","MLB","TEX","","","2","","","","","551","","234"
"372","Andrew Morris","24","MLB","MIN","","","2","","","","","22","766",""
"373","Pat Gallagher","26","AAA","TOR","","394.4","5","","266","628","355","279","","444"
"374","Luis De La Torre","22","A+","SFG","","395.2","7","392","299","91","484","280","418","803"
"375","Julio Rodriguez","26","AAA","HOU","","395.9","4","","63","","681","232","","608"
"376","Riley Maddox","23","AA","WSN","","396.3","6","402","","109","211","377","250","1029"
"377","Liomar Martinez","21","A+","MIA","","396.9","7","233","361","108","182","842","218","835"
"378","Cole Tolbert","23","A","BOS","","398.8","5","332","","","463","749","199","251"
"379","Andrew Moore","26","AAA","SDP","","399.3","4","","60","","829","627","","81"
"380","Jackson Brockett","23","A+","CHC","","399.4","5","407","","216","402","579","","393"
"381","Aiven Cabral","22","A+","ATL","","400.5","6","382","","85","157","1092","275","412"
"382","Jose Chirinos","21","A+","NYM","","400.5","7","262","608","51","155","1077","214","437"
"383","Alex McFarlane","25","AA","PHI","","403.4","4","","357","","545","549","","163"
"384","Alimber Santa","23","MLB","HOU","","","2","","","","504","303","",""
"385","Garrett Wright","24","A+","CHW","","404.0","3","","","","530","439","","243"
"386","Josh Bostick","24","A+","SFG","","","2","","140","","","668","",""
"387","Danis Correa","26","AAA","ATH","","404.5","3","","860","","","316","","38"
"388","Welinton Herrera","22","MLB","COL","","404.7","3","","","896","244","74","",""
"389","Josh Walker","31","MLB","BAL","","404.8","3","","161","","","639","","415"
"390","Luke Russo","25","AA","PHI","","405.0","7","396","914","220","207","565","188","345"
"391","Jackson Nezuh","24","AA","HOU","","405.7","7","239","804","327","216","419","439","396"
"392","Keyner Benitez","20","A","MIA","","405.8","5","195","563","","76","1045","150",""
"393","Twine Palmer","21","A+","BAL","","406.1","7","181","860","93","320","615","143","631"
"394","Jonah Tong","23","MLB","NYM","","406.6","7","352","17","605","226","18","304","1325"
"395","Manuel Genao","20","AAA","MIA","","407.4","7","359","891","133","121","737","132","479"
"396","Carson Whisenhunt","25","MLB","SFG","","407.6","6","272","531","72","380","72","","1119"
"397","Gabe Davis","22","AA","CHW","","409.5","6","427","","311","259","448","77","935"
"398","Louis Marinaro","21","A","TEX","","409.7","3","","","","378","539","","312"
"399","Braden Davis","23","AA","STL","","409.8","7","171","192","312","305","566","383","940"
"400","Will Sanders","24","AAA","CHC","","410.9","7","133","689","553","213","666","101","521"
"401","Brandon Neely","22","A+","BOS","","","2","","","","430","394","",""
"402","Conrad Cason","19","CPX","BOS","","","1","","","","","412","",""
"403","Ethan Flanagan","24","A+","CHC","","413.1","7","349","968","561","208","564","133","109"
"404","Mitch Mueller","24","AA","MIN","","414.7","3","","","","301","865","","78"
"405","Chris Veach","24","AA","NYY","","415.3","3","","172","","297","777","",""
"406","Dugan Darnell","29","MLB","DET","","","2","","238","","","594","",""
"407","Julian Tonghini","24","A+","WSN","","","2","","","","385","447","",""
"408","Kyle McCoy","22","A+","CIN","","417.7","6","277","","230","325","700","128","846"
"409","Felipe De La Cruz","25","AAA","NYM","","417.9","4","","81","","558","514","","519"
"410","Cade Crossland","22","A","STL","","418.2","6","369","","102","373","795","306","564"
"411","Zach McCambley","27","MLB","CIN","","419.5","4","515","","265","","348","","550"
"412","Alec Gamboa","29","MLB","BOS","","420.0","4","713","","326","","219","","422"
"413","Tyler Switalski","23","AA","SFG","","420.4","7","304","307","168","98","1124","202","740"
"414","Griff McGarry","27","AAA","LAD","","","2","","342","","","499","",""
"415","Andrew Walling","26","AAA","PHI","","","2","","213","","","631","",""
"416","Jacob Roberts","24","A+","WSN","","423.0","3","","","","628","450","","191"
"417","Anderson Brito","21","A+","TBR","","423.3","7","208","810","479","363","127","369","607"
"418","Yoel Tejeda Jr.","22","A+","WSN","","423.4","7","176","1202","212","233","408","208","525"
"419","Reiss Knehr","29","MLB","MIL","","","2","","","","","311","","536"
"420","Kyson Witherspoon","21","A+","BOS","","425.3","6","325","","127","307","335","352","1106"
"421","Mason Burns","24","AA","STL","","427.0","3","","136","","619","526","",""
"422","Ryan Lobus","25","AAA","TEX","","427.4","4","","87","","709","212","","702"
"423","Keone Kela","33","MLB","CHW","","","1","","","","","429","",""
"424","Yereny Teus","22","A","TBR","","429.0","3","","","","256","931","","100"
"425","Charlee Soto","20","A+","MIN","","","2","","646","","","214","",""
"426","Owen Hackman","24","AA","ATL","","430.1","6","","487","503","284","711","420","176"
"427","Pierce George","23","AA","CHW","","430.6","4","","134","","268","870","","451"
"428","Cristofer Gomez","23","A+","NYM","","430.9","4","","113","","517","850","","244"
"429","Devin Futrell","23","A+","BOS","","431.2","7","469","531","209","165","1099","294","252"
"430","Jaron DeBerry","23","AA","MIL","","432.1","7","154","1202","110","245","336","349","629"
"431","Davis Polo","21","A","ATL","","434.6","7","228","986","57","196","862","209","505"
"432","Rafe Schlesinger","23","AA","CLE","","434.9","7","302","613","385","248","340","184","972"
"433","Jack Sellinger","26","AA","MIA","","435.3","4","","40","","697","431","","573"
"434","Jose Acuna","23","AAA","CIN","","438.0","7","107","955","30","141","762","332","739"
"435","Mason McGwire","22","A+","CHC","","438.3","7","288","569","63","228","1583","63","274"
"436","Brian Fitzpatrick","26","MLB","MIL","","","2","","","","367","510","",""
"437","Dasan Hill","20","A+","MIN","","439.0","7","140","601","827","329","145","51","980"
"438","Samy Natera Jr.","26","MLB","LAA","","","2","","","","","294","","584"
"439","Tyler Stuart","26","AAA","WSN","","","2","","618","","","260","",""
"440","Trey Gregory-Alford","20","A","LAA","","439.5","7","221","925","101","250","657","154","769"
"441","Zach Royse","22","A+","ATL","","439.7","6","423","","98","94","1029","127","867"
"442","Ubaldo Soto","19","A","LAA","","440.6","7","76","689","663","172","491","264","729"
"443","Trevin Michael","28","AAA","DET","","441.3","3","","207","","","707","","410"
"444","Trey Gibson","24","MLB","BAL","","442.7","6","294","","781","309","80","185","1007"
"445","Joe Ariola","22","A","ARI","","","1","","","","","445","",""
"446","Phil Fox","23","AA","CHW","","445.9","5","","106","552","652","672","","248"
"447","Blade Tidwell","25","MLB","SFG","","446.7","6","310","456","695","341","46","","832"
"448","Evan Reifert","27","AAA","TBR","","446.7","3","","169","","","380","","791"
"449","Lucas Elissalt","21","A+","DET","","447.6","7","337","841","438","262","293","232","730"
"450","Daniel Espino","25","MLB","CLE","","","2","","","","769","129","",""
"451","Sadbiel Delzine","18","CPX","BOS","","","2","","","","","560","","340"
"452","Brandon Beckel","24","AA","PHI","","450.2","6","435","290","241","346","1293","","96"
"453","Junior Ciprian","21","A","ARI","","451.2","7","141","400","27","265","1685","233","408"
"454","Kendeglys Virguez","22","A+","CLE","","","2","","","","502","401","",""
"455","Josh Randall","23","AA","WSN","","452.1","7","609","868","119","151","422","222","774"
"456","Blake Gillespie","22","A","NYY","","452.3","6","506","","123","314","1016","582","173"
"457","Jack Anker","22","A+","PIT","","452.5","6","527","","227","197","1221","271","272"
"458","Jared Lyons","25","AAA","CIN","","453.5","7","390","738","130","370","816","281","450"
"459","Ismael Agreda","22","A+","TEX","","453.6","7","264","569","153","323","636","338","892"
"460","Andrew Magno","28","AAA","BAL","","453.7","3","","249","","","520","","592"
"461","Bryson Dudley","22","A","KCR","","","1","","","","","454","",""
"462","Johnathan Lavallee","26","AAA","CIN","","454.2","3","","380","","","876","","107"
"463","Miguel Mendez","23","AA","SDP","","454.7","7","487","366","229","531","468","192","910"
"464","Max Banks","23","A+","CHW","","455.3","6","362","","125","210","1487","181","367"
"465","Wyatt Olds","26","AAA","BOS","","456.5","3","","393","","","543","","434"
"466","Juan Benjamin","23","AAA","CLE","","","1","","","","","458","",""
"467","Adrian Ardines","19","CPX","HOU","","","2","","","","","750","","168"
"468","Diustin Mayorquin","18","A","MIL","","","2","","","","","654","","267"
"469","Simon Miller","25","AA","CIN","","","2","","177","","","746","",""
"470","Winyer Chourio","22","A+","SDP","","461.8","7","69","531","105","318","1578","112","520"
"471","JR Ritchie","23","MLB","ATL","","463.2","5","308","","401","249","168","","1190"
"472","Cade Fergus","25","AAA","PHI","","","1","","","","","464","",""
"473","Chayce McDermott","27","MLB","LAD","","464.0","3","","558","","","421","","413"
"474","Nick Altermatt","26","AA","CHW","","465.8","3","","334","","","716","","348"
"475","Wilber Dotel","23","MLB","PIT","","466.3","6","464","","811","414","345","227","537"
"476","Tayler Montiel","23","A+","ARI","","468.7","3","","","","579","403","","424"
"477","Chase Shores","22","A+","LAA","","468.8","5","416","","","343","181","212","1192"
"478","Luis Gutierrez","22","AAA","SDP","","469.3","3","","342","","","733","333",""
"479","Najer Victor","24","AAA","LAA","","470.5","3","","192","","943","277","",""
"480","Parker Mushinski","30","MLB","CLE","","470.7","3","","290","","","433","","689"
"481","Cooper Hjerpe","25","AA","STL","","471.2","3","","349","","","261","804",""
"482","Max Carlson","24","AA","BOS","","471.9","5","488","518","","356","630","","368"
"483","Christian Little","22","A+","SEA","","472.8","4","","224","","565","982","","120"
"484","Omar Cruz","27","MLB","SDP","","473.0","3","","508","","","662","","249"
"485","Tanner Kohlhepp","27","AA","DET","","473.3","3","","229","","","764","","427"
"486","Cody Delvecchio","22","A","SFG","","473.5","6","240","","637","383","860","462","259"
"487","Jesus Travieso","19","A","PIT","","","1","","","","","474","",""
"488","Jack Wenninger","24","AAA","NYM","","474.3","7","568","435","234","392","200","428","1063"
"489","Tyler LaPorte","29","AA","ATL","","475.0","3","","552","","","583","","290"
"490","Luke Jackson","22","A","TBR","","","1","","","","","476","",""
"491","Joe Jacques","31","MLB","SEA","","","2","","563","","","390","",""
"492","Fernando Peguero","21","AA","BAL","","","1","","","","","477","",""
"493","Ryan Hendrix","31","MLB","ARI","","","1","","","","","478","",""
"494","Sauryn Lao","26","MLB","WSN","","","2","","416","","","541","",""
"495","Eiberson Castellano","25","MLB","COL","","478.5","6","421","","185","436","341","625","863"
"496","Dean Livingston","19","A","ARI","","479.8","6","465","","289","509","655","356","605"
"497","Bryan Mata","27","AAA","BOS","","","2","","654","","","306","",""
"498","Jose Franco","25","MLB","CIN","","480.7","6","271","","170","447","824","203","969"
"499","Josh Hartle","23","AA","CLE","","481.1","7","466","446","226","315","298","272","1345"
"500","Logan VanWey","27","MLB","HOU","","482.0","3","","778","","","391","","277"
"501","Gabel Pentecost","22","A","HOU","","483.3","4","415","","","271","836","411",""
"502","Easton Lucas","29","MLB","TOR","","","2","","569","","","398","",""
"503","Levi Wells","24","AAA","BAL","","484.1","7","323","725","738","282","322","285","714"
"504","Nic Enright","29","MLB","MIA","","","2","","172","","","798","",""
"505","Teo Banks","22","A+","WSN","","","1","","","","","485","",""
"506","Ryan Dollar","22","A+","NYM","","485.3","3","","","","489","897","","70"
"507","Carlos Guzman","28","AAA","CHC","","485.7","3","","290","","","879","","288"
"508","Gerardo Carrillo","27","AAA","TEX","","486.5","3","","518","","","163","","779"
"509","Drue Hackenberg","24","AAA","ATL","","486.9","7","243","1280","450","206","281","255","694"
"510","Lucas Mahlstedt","23","AA","LAA","","487.0","3","","","","488","318","","655"
"511","Juan Carela","24","AA","FA","","487.8","4","","452","","264","706","529",""
"512","Brody Hopkins","24","AAA","TBR","","489.1","7","232","256","179","775","199","318","1465"
"513","Dylan Smith","26","MLB","SFG","","489.2","3","","253","","911","304","",""
"514","Ashton Izzi","22","AA","ARI","","489.4","7","60","1145","207","189","664","267","894"
"515","R.J. Sales","22","A","WSN","","","2","","241","","","742","",""
"516","Jesse Bergin","26","AA","MIN","","","2","","117","","","867","",""
"517","Coleman Crow","25","MLB","MIL","","492.3","6","520","","625","351","99","479","880"
"518","Jonathan Pintaro","28","MLB","NYM","","495.7","3","","681","","","118","","688"
"519","Luis R. Rodriguez","23","A","NYM","","","1","","","","","496","",""
"520","Luis Perales","23","AAA","WSN","","498.0","7","250","1161","192","526","70","269","1018"
"521","Nick Raquet","30","MLB","BAL","","498.5","3","","503","","","635","","358"
"522","Sam Carlson","27","AAA","LAD","","498.8","3","","304","","","328","","865"
"523","Wande Torres","21","A+","MIL","","499.2","7","324","1113","275","222","625","221","715"
"524","Zack Qin","20","A","SDP","","499.7","3","","","","","641","836","22"
"525","Braydon Risley","21","A","SFG","","500.2","6","258","","270","379","1025","310","759"
"526","Ryan McDonagh","20","A","KCR","","501.0","6","166","","160","295","1831","364","190"
"527","Miguel Ullola","24","MLB","HOU","","502.5","4","356","","","659","94","","901"
"528","Hans Crouse","27","MLB","FA","","505.2","3","","673","","","247","","596"
"529","Alex Clemmey","20","AA","WSN","","505.3","7","345","946","80","266","404","172","1324"
"530","Jayden Dubanewicz","20","A+","MIL","","505.9","7","174","914","196","218","1402","268","369"
"531","David Davalillo","25","AAA","TEX","","505.9","7","638","183","774","546","150","164","1087"
